,Applicant ID,Business Structure,Country,Location,NAICS,Business Ownership (1),Business Ownership (2),Business Ownership (3),Business Ownership (4),Business Ownership (5),Personal Credit Score,Business Credit Score,Annual Revenue (2 years ago),Annual Revenue (1 year ago),Annual Revenue (latest year),Net Profit Margin,Business Debt (2 years ago),Business Debt (1 year ago),Business Debt (latest year),NOI (2 years ago),NOI (1 year ago),NOI (latest year),DSCR (2 years ago),DSCR (1 year ago),DSCR (latest year),Industry Experience,Managerial Experience,Years in Business,Collateral Availability,Loan Amount,Fast Approval,For Profit,Acquisition Request,Working Capital,Business Expansion,Equipment Purchase or Leasing,Inventory Purchase,Real Estate Acquisition or Improvement,Business Acquisition or Buyout,Refinancing Existing Debt,Emergency Funds,Franchise Financing,Contract Financing,Licensing or Permits,Line of Credit Establishment
90,91,LLC,US,"Minneapolis, MN",491110,46,34,20,0,0,673,180,1263000,156000,575000,0.52,387462,76061,348686,313844,84427,449804,0.81,1.11,1.29,8,10,1,True,571000,False,True,True,True,False,True,False,True,False,False,True,False,True,False,True
91,92,S Corporation (S-Corp),US,"Kent, WA",621330,100,0,0,0,0,775,187,440000,755000,717000,5.66,223174,301310,294716,165148,304323,557013,0.74,1.01,1.89,19,14,10,True,4311000,False,True,True,True,True,False,True,True,False,False,True,True,False,True,True
92,93,S Corporation (S-Corp),US,"Knoxville, TN",931120,100,0,0,0,0,555,140,825000,160000,1243000,5.97,252786,98246,252234,358956,120842,345560,1.42,1.23,1.37,4,19,15,True,1360000,False,True,False,True,True,False,False,True,True,True,False,True,False,False,True
93,94,S Corporation (S-Corp),US,"Salinas, CA",811111,100,0,0,0,0,750,194,808000,570000,545000,14.85,334099,366027,236630,337439,245238,229531,1.01,0.67,0.97,8,8,4,False,2420000,False,True,False,False,False,False,True,False,False,True,True,False,True,True,False
94,95,LLC,US,"Overland Park, KS",445110,100,0,0,0,0,325,180,165000,271000,1242000,9.8,65371,143603,446490,73869,189555,656340,1.13,1.32,1.47,13,2,3,True,1804000,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
95,96,LLC,US,"San Francisco, CA",711510,100,0,0,0,0,789,191,663000,1049000,719000,13.98,445794,281886,147912,579532,281886,118329,1.3,1.0,0.8,16,5,2,False,2667000,False,True,False,True,False,True,True,False,True,True,False,True,False,False,True
96,97,LLC,US,"Brownsville, TX",541430,100,0,0,0,0,812,112,187000,669000,949000,5.05,94383,318604,288395,105708,512952,112474,1.12,1.61,0.39,7,11,1,True,2473000,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True
97,98,Sole Proprietorship,US,"St. Louis, MO",928110,100,0,0,0,0,839,168,279000,856000,1238000,8.27,122965,79504,224891,195514,96199,290109,1.59,1.21,1.29,20,12,8,True,1104000,False,True,False,True,False,False,True,True,False,True,True,False,True,False,True
98,99,LLC,US,"Thornton, CO",812310,52,48,0,0,0,729,200,236000,1098000,1281000,8.45,52250,311820,320608,61132,411602,368699,1.17,1.32,1.15,13,17,14,False,879000,False,True,False,True,False,True,False,False,True,True,True,True,False,False,True
99,100,Sole Proprietorship,US,"Baton Rouge, LA",621910,100,0,0,0,0,762,105,620000,218000,718000,13.14,117006,135908,307521,177849,61158,461281,1.52,0.45,1.5,17,5,12,False,4635000,False,True,True,True,False,False,False,True,False,True,True,False,False,False,True
100,101,Sole Proprietorship,US,"Santa Ana, CA",532292,100,0,0,0,0,692,132,797000,192000,1056000,14.4,104672,105048,450795,132933,130259,518414,1.27,1.24,1.15,20,1,7,False,823000,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True
101,102,Sole Proprietorship,US,"Baltimore, MD",922120,39,21,20,20,0,765,118,178000,413000,564000,9.92,94948,107253,419696,133876,155516,512029,1.41,1.45,1.22,17,11,7,False,3115000,False,True,False,True,True,False,False,False,False,False,True,True,True,True,False
102,103,Sole Proprietorship,US,"Stockton, CA",561730,100,0,0,0,0,731,193,1463000,1231000,1384000,6.24,254361,156565,123596,234012,203534,234832,0.92,1.3,1.9,8,5,13,False,4598000,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False
